Source	In/Out	Accept	Sent	Simple	Copula	Pred/SC	Result/Depictive	Particle	VP Adjunct	NP Adjunct	Temporal	Locative	Misc	Oblique	PP Arg-VP	PPArg-NP/AP	by-Phrase	Expletive	High Arity	Drop Arg	Add Arg	Passive	Imperative	Binding:Refl	Binding:Other	Matrix Q	Emb Q	Complex QP	RC	Island	CP Subj	CP Arg VP	CP Arg NP/AP	Non-finite CP	No C-izer	Deep Embed	Neg	Modal	Aux	Psuedo-Aux	Control	Raising	VP+Extract	VP arg-NP/AP	Non-finite VP Misc	Deverbal 	Rel NP	Trans NP	Compx NP	NNCompd	Rel Adj	Trans Adj	Dislocation	Info Struc	Frag/Paren	Coord	Subordinate/Cond	Ellipsis/Anaphor	S-Adjunct	Quantifier	Partitive	NPI/FCI	Comparative	Sem  Violation	Infl/Agr Violation	Extra/Mising Expr
gj04	In	1	The sailors rode the breeze clear of the rocks.				1									1			1		1																														1															
gj04	In	1	The weights made the rope stretch over the pulley.				1								1				1		1																								1																					
gj04	In	1	The mechanical doll wriggled itself loose.				1												1		1			1																																										
cj99	In	1	If you had eaten more, you would want less.																																			1	1																		1						1			
cj99	In	0	As you eat the most, you want the least.																																																						1						1			
cj99	In	0	The more you would want, the less you would eat.																																			1																			1						1			
cj99	In	0	I demand that the more John eat, the more he pays.																													1																									1						1	1	1	
cj99	In	1	Mary listens to the Grateful Dead, she gets depressed.																																																						1						1			
cj99	In	1	The angrier Mary got, the more she looked at pictures.												1														1																												1						1			
cj99	In	1	The higher the stakes, the lower his expectations are.		1																																																				1	1					1			
cj99	In	1	The more Fred is obnoxious, the less attention you should pay to him.		1										1				1																			1																			1						1			
cj99	In	1	John was lots more obnoxious than Fred.		1																																																										1			
cj99	In	1	The more people you give beer to, the more people get sick.		1									1	1				1																																												1			
cj99	In	0	The more does Bill smoke, the more Susan hates him.																						1														1																		1						1		1	1
cj99	In	1	The more pictures of him that appear in the news, the more embarrassed John becomes.		1				1			1				1													1																		1		1								1						1			
cj99	In	1	Every senator seems to become more corrupt, as he talks to more lobbyists.		1										1																											1															1			1			1			
bc01	In	0	Who does John visit Sally because he likes?																							1				1																											1									
bc01	In	1	Marianne did not leave.																																		1		1																											
bc01	In	1	He could not have been working.																																		1	1	1																											
bc01	In	1	He can not have been working.																																		1	1	1																											
bc01	In	1	You will believe Bob.																																			1																												
bc01	In	1	John has not kissed Mary.																																		1		1																											
bc01	In	1	I said that never in my life had I seen a place like Bangor.						1		1																										1												1		1		1													
bc01	In	0	Mickey looked up it.					1											1																																		1													
bc01	In	1	There tended to be a lot of discussion.															1			1																					1																								
bc01	In	1	John tried to be a good boy.		1																																				1																									
bc01	In	1	John is eager.		1															1																																														
bc01	In	1	We want John to win.																1																						1																									
bc01	In	0	The box contained the ball from the tree.						1			1																																																						
bc01	In	0	The tube was escaped by gas.														1					1																																												
bc01	In	1	Water bubbled up out of the kettle.					1	1			1																																																						
bc01	In	1	The tub leaked water.																		1																																													
