test MCC		0.16886,	0.32513,	0.19899,	0.20191,	0.17669,	0.21283,	0.28387,	0.19119,	0.29595,	0.28417,	0.18062,	0.33210,	0.25394,	0.33651,	0.20685,	0.19766,	0.32869,	0.17669,	0.28762,	0.28762,
test Accuracy		54.27350,	60.25641,	55.98291,	54.70085,	55.12821,	54.27350,	57.26496,	55.12821,	55.12821,	55.55556,	55.55556,	64.10256,	55.55556,	58.11966,	56.83761,	52.56410,	58.97436,	55.12821,	57.69231,	57.69231,
dev MCC	gold	0.01233,	0.36168,	0.00000,	0.00000,	0.00000,	0.25720,	0.16935,	0.01233,	0.31884,	0.10211,	0.00000,	0.30508,	0.31884,	0.33288,	0.00000,	0.11918,	0.34714,	0.03045,	0.34714,	0.34714,
jason fed the casserole to the children .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason fed the children the casserole .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nicole fed the meal to the guests .	1	1	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	1	0	0
nicole fed the guests the meal .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth served the casserole to the family .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
elizabeth served the family the casserole .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
christopher served the meal to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
christopher served the family the meal .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
john gave a gift to the little boy .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave the little boy a gift .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave a surprise to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave the family a surprise .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave a puppy to the little boy .	1	0	1	1	1	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	1
john gave the little boy a puppy .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave a book to his wife .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave his wife a book .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave a plate of food to the little boy .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john gave the little boy a plate of food .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john left a gift to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john left the family a gift .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
john left a surprise to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john left the family a surprise .	1	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0
john left a puppy to the little boy .	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	1	0	1
john left the little boy a puppy .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
john left a book to the little boy .	1	1	0	1	1	1	1	0	1	0	0	1	1	0	0	1	1	0	1	1	0
john left the little boy a book .	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
john left a plate of food to his wife .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john left his wife a plate of food .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought a gift to the family .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought the family a gift .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought a surprise to his wife .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought his wife a surprise .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought a puppy to the little boy .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought the little boy a puppy .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought a book to his wife .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought his wife a book .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought a plate of food to his wife .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
john brought his wife a plate of food .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
jason sold a book to the customer .	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
